filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1040273,0001040273-26-000002,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,50323000,175000,SH,SOLE,,175000,0,0
1040273,0001040273-26-000002,023135106,AMZN,AMAZON COM INC,COM,,404043800,1940000,SH,SOLE,,1940000,0,0
1040273,0001040273-26-000002,00187Y100,APG,API GROUP CORP,COM STK,,82255600,2030000,SH,SOLE,,2030000,0,0
1040273,0001040273-26-000002,82835W108,SPRY,ARS PHARMACEUTICALS INC,COM,,8030000,1000000,SH,SOLE,,1000000,0,0
1040273,0001040273-26-000002,N07059210,,ASML HLDG NV,N Y REGISTRY SHS,,15849960,12000,SH,SOLE,,12000,0,0
1040273,0001040273-26-000002,051774115,AUROW,AURORA INNOVATION INC,*W EXP 11/03/202,,365165,1835000,SH,SOLE,,1835000,0,0
1040273,0001040273-26-000002,051774107,AUR,AURORA INNOVATION INC,CLASS A COM,,4253748,1032463,SH,SOLE,,1032463,0,0
1040273,0001040273-26-000002,11135F101,AVGO,BROADCOM INC,COM,,15475500,50000,SH,SOLE,,50000,0,0
1040273,0001040273-26-000002,14040H105,COF,CAPITAL ONE FINL CORP,COM,,25540200,140000,SH,SOLE,,140000,0,0
1040273,0001040273-26-000002,144285103,CRS,CARPENTER TECHNOLOGY CORP,COM,,122186500,310000,SH,SOLE,,310000,0,0
1040273,0001040273-26-000002,62548M209,CTEV,CLARITEV CORPORATION,CL A NEW,,718960,44000,SH,SOLE,,44000,0,0
1040273,0001040273-26-000002,G25508105,,CRH PLC,ORD,,199728000,1900000,SH,SOLE,,1900000,0,0
1040273,0001040273-26-000002,235851102,DHR,DANAHER CORP DEL,COM,,99540000,525000,SH,SOLE,,525000,0,0
1040273,0001040273-26-000002,343928115,FLYX/WS,FLYEXCLUSIVE INC,*W EXP 99/99/999,,88200,367499,SH,SOLE,,367499,0,0
1040273,0001040273-26-000002,343928107,FLYX,FLYEXCLUSIVE INC,COM CL A,,2309720,1022000,SH,SOLE,,1022000,0,0
1040273,0001040273-26-000002,42806J148,HTZWW,HERTZ GLOBAL HLDGS INC,*W EXP 06/30/205,,9051600,3970000,SH,SOLE,,3970000,0,0
1040273,0001040273-26-000002,44812J104,HUT,HUT 8 CORP,COM,,40791200,869563,SH,SOLE,,869563,0,0
1040273,0001040273-26-000002,482480100,KLAC,KLA CORP,COM NEW,,16196510,11000,SH,SOLE,,11000,0,0
1040273,0001040273-26-000002,512807306,LRCX,LAM RESEARCH CORP,COM NEW,,16024500,75000,SH,SOLE,,75000,0,0
1040273,0001040273-26-000002,538034109,LYV,LIVE NATION ENTERTAINMENT IN,COM,,70917150,465000,SH,SOLE,,465000,0,0
1040273,0001040273-26-000002,576323109,MTZ,MASTEC INC,COM,,102956800,320000,SH,SOLE,,320000,0,0
1040273,0001040273-26-000002,30303M102,META,META PLATFORMS INC,CL A,,51491700,90000,SH,SOLE,,90000,0,0
1040273,0001040273-26-000002,655844108,NSC,NORFOLK SOUTHN CORP,COM,,28700000,100000,SH,SOLE,,100000,0,0
1040273,0001040273-26-000002,67066G104,NVDA,NVIDIA CORPORATION,COM,,33136000,190000,SH,SOLE,,190000,0,0
1040273,0001040273-26-000002,G8068L108,,SHARKNINJA INC,COM SHS,,13820903,130509,SH,SOLE,,130509,0,0
1040273,0001040273-26-000002,88023U101,TPD,SOMNIGROUP INTERNATIONAL INC,COM,,167855244,2270769,SH,SOLE,,2270769,0,0
1040273,0001040273-26-000002,78463V107,GQ9,SPDR GOLD TR,GOLD SHS,,40877550,95000,SH,SOLE,,95000,0,0
1040273,0001040273-26-000002,092667104,SRTA,STRATA CRITICAL MEDICAL INC,CL A COM,,20900000,5000000,SH,SOLE,,5000000,0,0
1040273,0001040273-26-000002,874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,,92936250,275000,SH,SOLE,,275000,0,0
1040273,0001040273-26-000002,879433829,TDS,TELEPHONE & DATA SYS INC,COM NEW,,277860000,6600000,SH,SOLE,,6600000,0,0
1040273,0001040273-26-000002,893641100,T7D,TRANSDIGM GROUP INC,COM,,28974000,25000,SH,SOLE,,25000,0,0
1040273,0001040273-26-000002,907818108,UNP,UNION PAC CORP,COM,,24262000,100000,SH,SOLE,,100000,0,0
1040273,0001040273-26-000002,92189F676,SMH,VANECK ETF TRUST,SEMICONDUCTR ETF,,15336000,40000,SH,SOLE,,40000,0,0
