filer_cik,quarter,accession,form,filing_date,role,in_book,detail
898382,2024Q2,0000945621-24-000673,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
898382,2024Q3,0000945621-24-000945,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
898382,2024Q4,0000945621-25-000191,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
898382,2025Q1,0000945621-25-000492,13F-HR,2025-05-15,SUPERSEDED_ORIGINAL,False,replaced by a later RESTATEMENT amendment
898382,2025Q1,0000945621-25-000506,13F-HR/A,2025-05-15,BASE_RESTATEMENT,True,latest RESTATEMENT restates the quarter in its entirety
898382,2025Q2,0000945621-25-000771,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
898382,2025Q3,0000945621-25-001130,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
898382,2025Q4,0000945621-26-000329,13F-HR,2026-02-17,BASE_ORIGINAL,True,original 13F-HR is the base filing
898382,2026Q1,0000945621-26-000719,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
898382,2026Q2,0000945621-26-001056,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
921669,2024Q2,0001539497-24-001704,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
921669,2024Q3,0001539497-24-002435,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
921669,2024Q4,0001539497-25-000660,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
921669,2025Q1,0001539497-25-001390,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
921669,2025Q2,0001539497-25-002145,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
921669,2025Q3,0001539497-25-002973,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
921669,2025Q4,0001539497-26-000679,13F-HR,2026-02-17,BASE_ORIGINAL,True,original 13F-HR is the base filing
921669,2026Q1,0001539497-26-001469,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
921669,2026Q2,0001539497-26-002243,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2024Q2,0000947871-24-000690,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2024Q3,0000947871-24-000903,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2024Q4,0000947871-25-000159,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2025Q1,0000947871-25-000533,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2025Q2,0000947871-25-000775,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2025Q3,0000947871-25-001016,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2025Q4,0000947871-26-000150,13F-HR,2026-02-13,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2026Q1,0000947871-26-000553,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2026Q2,0000947871-26-000793,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2024Q2,0001085146-24-004004,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2024Q3,0001085146-24-005927,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2024Q4,0001085146-25-001713,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2025Q1,0001085146-25-003337,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2025Q2,0001085146-25-005277,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2025Q3,0001040273-25-000003,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2025Q4,0001040273-26-000001,13F-HR,2026-02-17,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2026Q1,0001040273-26-000002,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2026Q2,0001040273-26-000003,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1056831,2024Q2,0000919574-24-004743,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1056831,2024Q3,0000919574-24-006738,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1056831,2024Q4,0000919574-25-001521,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1056831,2025Q1,0000919574-25-003250,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1056831,2025Q2,0000919574-25-004911,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1056831,2025Q3,0000919574-25-007000,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1056831,2025Q4,0000919574-26-001186,13F-HR,2026-02-17,BASE_ORIGINAL,True,original 13F-HR is the base filing
1056831,2026Q1,0000919574-26-003485,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1056831,2026Q2,0000919574-26-005488,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2024Q2,0000902664-24-005150,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2024Q3,0000902664-24-006633,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2024Q4,0000902664-25-001072,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2025Q1,0000902664-25-002417,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
